# tag, weight, width (pixels), height(pixels)
# last tag is white space (fake)
#repeated for various fontsizes
absolutely, 0, 48, 13 
associative array, 0, 78, 13 
access, 0, 30, 13 
ajax, 0, 20, 13 
buzz, 2, 33, 19 
bookmarking service, 0, 99, 13 
blog, 0, 20, 13 
bookmarks, 1, 66, 16 
beta, 0, 21, 13 
caching system, 0, 73, 13 
concurrent, 0, 53, 13 
clouds, 1, 39, 16 
conversion, 0, 51, 13 
character encoding, 0, 94, 13 
ces, 0, 15, 13 
direct de, 0, 42, 13 
discover, 0, 38, 13 
encore, 0, 33, 13 
easy to use tool, 0, 71, 13 
flux, 1, 20, 16 
fingertips, 0, 45, 13 
greffe, 0, 28, 13 
herberger, 0, 49, 13 
internet connected computer, 0, 140, 13 
jobby, 2, 38, 19 
jargon, 0, 31, 13 
logo, 0, 19, 13 
les infos, 0, 38, 13 
la presse, 0, 42, 13 
le web, 1, 40, 16 
la glue, 0, 34, 13 
layouts, 0, 33, 13 
mes, 0, 19, 13 
modes, 0, 30, 13 
net 1, 0, 25, 13 
online resume, 0, 70, 13 
online bookmarks, 0, 85, 13 
personal search, 0, 76, 13 
profile, 1, 36, 16 
presse internationale, 0, 102, 13 
pdf magazine, 0, 66, 13 
personal knowledge management, 1, 204, 16 
php class, 0, 44, 13 
parse, 0, 26, 13 
popular, 1, 45, 16 
regular expressions, 0, 93, 13 
rss, 8, 49, 36 
social, 1, 35, 16 
services, 0, 37, 13 
service, 0, 33, 13 
search engine, 1, 86, 16 
steroids, 0, 35, 13 
spam filter, 0, 50, 13 
search engines, 0, 74, 13 
tous les, 0, 35, 13 
tool collection, 0, 64, 13 
treehouse, 0, 48, 13 
tag, 0, 15, 13 
transformer, 0, 55, 13 
terme, 0, 28, 13 
urls, 4, 33, 25 
visibility, 0, 38, 13 
world wide web, 0, 75, 13 
web en, 0, 36, 13 
web development, 0, 85, 13 
widgets, 0, 36, 13 
xml parser, 0, 50, 13 
 , -1, 4, 18 
absolutely, 0, 60, 10 
associative array, 0, 102, 10 
access, 0, 36, 10 
ajax, 0, 24, 10 
buzz, 2, 36, 14 
bookmarking service, 0, 114, 10 
blog, 0, 24, 10 
bookmarks, 1, 63, 13 
beta, 0, 24, 10 
caching system, 0, 84, 10 
concurrent, 0, 60, 10 
clouds, 1, 42, 13 
conversion, 0, 60, 10 
character encoding, 0, 108, 10 
ces, 0, 18, 10 
direct de, 0, 54, 10 
discover, 0, 48, 10 
encore, 0, 36, 10 
easy to use tool, 0, 96, 10 
flux, 1, 28, 13 
fingertips, 0, 60, 10 
greffe, 0, 36, 10 
herberger, 0, 54, 10 
internet connected computer, 0, 162, 10 
jobby, 2, 45, 14 
jargon, 0, 36, 10 
logo, 0, 24, 10 
les infos, 0, 54, 10 
la presse, 0, 54, 10 
le web, 1, 42, 13 
la glue, 0, 42, 10 
layouts, 0, 42, 10 
mes, 0, 18, 10 
modes, 0, 30, 10 
net 1, 0, 30, 10 
online resume, 0, 78, 10 
online bookmarks, 0, 96, 10 
personal search, 0, 90, 10 
profile, 1, 49, 13 
presse internationale, 0, 126, 10 
pdf magazine, 0, 72, 10 
personal knowledge management, 1, 203, 13 
php class, 0, 54, 10 
parse, 0, 30, 10 
popular, 1, 49, 13 
regular expressions, 0, 114, 10 
rss, 8, 45, 23 
social, 1, 42, 13 
services, 0, 48, 10 
service, 0, 42, 10 
search engine, 1, 91, 13 
steroids, 0, 48, 10 
spam filter, 0, 66, 10 
search engines, 0, 84, 10 
tous les, 0, 48, 10 
tool collection, 0, 90, 10 
treehouse, 0, 54, 10 
tag, 0, 18, 10 
transformer, 0, 66, 10 
terme, 0, 30, 10 
urls, 4, 44, 17 
visibility, 0, 60, 10 
world wide web, 0, 84, 10 
web en, 0, 36, 10 
web development, 0, 90, 10 
widgets, 0, 42, 10 
xml parser, 0, 60, 10 
 , -1, 4, 18 
absolutely, 0, 38, 15 
associative array, 0, 64, 15 
access, 0, 28, 15 
ajax, 0, 17, 15 
buzz, 2, 23, 20 
bookmarking service, 0, 82, 15 
blog, 0, 16, 15 
bookmarks, 1, 49, 17 
beta, 0, 17, 15 
caching system, 0, 61, 15 
concurrent, 0, 43, 15 
clouds, 1, 27, 17 
conversion, 0, 43, 15 
character encoding, 0, 75, 15 
ces, 0, 14, 15 
direct de, 0, 32, 15 
discover, 0, 33, 15 
encore, 0, 28, 15 
easy to use tool, 0, 56, 15 
flux, 1, 17, 17 
fingertips, 0, 33, 15 
greffe, 0, 22, 15 
herberger, 0, 39, 15 
internet connected computer, 0, 111, 15 
jobby, 2, 26, 20 
jargon, 0, 25, 15 
logo, 0, 16, 15 
les infos, 0, 28, 15 
la presse, 0, 33, 15 
le web, 1, 28, 17 
la glue, 0, 23, 15 
layouts, 0, 27, 15 
mes, 0, 18, 15 
modes, 0, 28, 15 
net 1, 0, 18, 15 
online resume, 0, 54, 15 
online bookmarks, 0, 69, 15 
personal search, 0, 61, 15 
profile, 1, 27, 17 
presse internationale, 0, 77, 15 
pdf magazine, 0, 52, 15 
personal knowledge management, 1, 144, 17 
php class, 0, 35, 15 
parse, 0, 22, 15 
popular, 1, 32, 17 
regular expressions, 0, 74, 15 
rss, 8, 23, 34 
social, 1, 23, 17 
services, 0, 32, 15 
service, 0, 28, 15 
